mnemonic,variant,description,opcodes,operands,reads,writes,rmw,data_bus_cycles_if_all_memory,operand_detail,confidence
ABSF,absf.s,Absolute Value,5C-0A 5E-0A,2,1,1,0,4,src.s(4B).r ; dst.s(4B).w,ok
ABSF,absf.l,Absolute Value,5C-0A 5E-0A,2,1,1,0,8,src.l(8B).r ; dst.l(8B).w,ok
ADD,add.b,,80 82 84,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
ADD,add.h,,80 82 84,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
ADD,add.w,,80 82 84,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
ADDC,addc.b,Add with Carry,90 92 94,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
ADDC,addc.h,Add with Carry,90 92 94,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
ADDC,addc.w,Add with Carry,90 92 94,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
ADDDC,adddc,,,3,2,0,1,4,src.b(1B).r ; dst.b(1B).rw ; pat.b(1B).r,ok
ADDF,addf.s,Add Floating,5C-18 5E-18,2,1,0,1,6,src.s(4B).r ; dst.s(4B).rw,ok
ADDF,addf.l,Add Floating,5C-18 5E-18,2,1,0,1,12,src.l(8B).r ; dst.l(8B).rw,ok
AND,and.b,Logical AND,,2,1,0,1,3,src.b(1B).r ; dst.b(1B).rw,ok
AND,and.h,Logical AND,,2,1,0,1,3,src.h(2B).r ; dst.h(2B).rw,ok
AND,and.w,Logical AND,,2,1,0,1,6,src.w(4B).r ; dst.w(4B).rw,ok
ANDBSD,andbsd,AND Bit String,5B-10 5B-11,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
ANDBSD,andbsu,AND Bit String,5B-10 5B-11,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ANDBSU,andbsd,,5B-10 5B-11,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ANDBSU,andbsu,,5B-10 5B-11,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
ANDNBSD,andnbsd,AND Complemented Bit String,5B-12 5B-13,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
ANDNBSD,andnbsu,AND Complemented Bit String,5B-12 5B-13,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ANDNBSU,andnbsd,,5B-12 5B-13,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,review
ANDNBSU,andnbsu,,5B-12 5B-13,3,2,0,1,4,bsrc.b(1B).r ; blen.b(1B).r ; bdst.b(1B).rw,ok
BCC,bcc,,,0,0,0,0,0,,ok
BRK,brk,,C8,0,0,0,0,0,,ok
BRKV,brkv,Break on Overflow,C9,0,0,0,0,0,,ok
BSR,bsr,Branch to Subroutine,48,0,0,0,0,0,,ok
CALL,call,Call Procedure,49,2,1,0,1,4,target.b(1B).ex ; arg.w(4B).r,review
CAXI,caxi,Compare and Exchange Interlocked,4C,1,0,0,1,4,dst.w(4B).rwi,ok
CHKAE,chkae,Check Access Permission,4D 4E 4F,2,2,0,0,3,va.p(4B).r ; level.b(1B).r,ok
